farm_id,weight,percent,min,max,average
Farm 100,3310258,1.06,8838,9370,9069.2
Farm 101,2806448,0.9,7506,7902,7688.898630136986
Farm 102,6303126,2.02,17059,17469,17268.838356164382
Farm 103,942825,0.3,2326,2823,2583.082191780822
Farm 104,1071639,0.34,2713,3158,2935.9972602739726
Farm 105,1663919,0.53,9037,9545,9295.636871508379
Farm 106,3143331,1.0,8390,8840,8611.865753424658
Farm 107,3103561,0.99,8312,8749,8502.906849315068
Farm 108,504511,0.16,2625,3012,2818.4972067039107
Farm 109,1270503,0.41,3283,3701,3480.8301369863016
Farm 110,1383022,0.44,3570,4016,3789.1013698630136
Farm 111,977210,0.31,2454,2847,2677.2876712328766
Farm 112,6318943,2.02,17088,17576,17312.172602739727
Farm 113,3130992,1.0,17301,17670,17491.575418994413
Farm 114,1447064,0.46,7866,8294,8084.156424581006
Farm 115,3148465,1.01,8424,8825,8625.931506849314
Farm 116,4131533,1.32,11120,11543,11319.268493150685
Farm 117,1372856,0.44,3562,3993,3771.5824175824177
Farm 18,876849,0.28,2160,2659,2402.32602739726
Farm 19,738026,0.24,1793,2289,2021.9890410958903
Farm 20,4344940,1.39,11697,12183,11903.945205479453
Farm 21,1453705,0.46,3765,4190,3982.753424657534
Farm 22,6040817,1.93,16250,16747,16550.183561643837
Farm 23,3779987,1.21,10125,10587,10356.128767123288
Farm 24,1305616,0.42,7123,7466,7293.944134078212
Farm 25,6404383,2.05,17306,17729,17546.254794520548
Farm 26,6240645,2.0,16871,17330,17097.657534246577
Farm 27,1121069,0.36,2849,3293,3071.4219178082194
Farm 28,6394919,2.04,17321,17747,17520.32602739726
Farm 29,1611828,0.52,8776,9257,9004.625698324022
Farm 30,4270169,1.37,11491,11923,11699.093150684932
Farm 31,3576116,1.14,9596,10043,9797.578082191782
Farm 32,902064,0.29,2249,2721,2471.408219178082
Farm 33,756754,0.24,1822,2292,2073.2986301369865
Farm 34,1082677,0.35,2760,3174,2966.2383561643837
Farm 35,6108156,1.95,16558,16937,16734.67397260274
Farm 36,704699,0.23,3739,4156,3936.8659217877093
Farm 37,2452691,0.78,6510,6922,6719.7013698630135
Farm 38,6396619,2.05,17271,17758,17524.983561643836
Farm 39,847232,0.27,2129,2545,2321.1835616438357
Farm 40,5881864,1.88,15894,16318,16114.69589041096
Farm 41,6505625,2.08,17621,18037,17823.630136986303
