farm_id,weight,percent
Farm 100,952152,0.010573407868993114
Farm 101,806006,0.00895049339060955
Farm 102,1814902,0.020154029071252636
Farm 103,272346,0.003024333656274207
Farm 104,308329,0.0034239157979385412
Farm 105,483579,0.0053700228575687715
Farm 106,903985,0.010038525479599623
Farm 107,892656,0.009912719791276937
Farm 108,145971,0.0016209711475108951
Farm 109,365206,0.004055520541051743
Farm 110,399394,0.004435169660336412
Farm 111,280204,0.0031115947648309794
Farm 112,1817734,0.02018547771714635
Farm 113,909806,0.010103166216798526
Farm 114,419899,0.0046628725148740325
Farm 115,905035,0.010050185464835638
Farm 116,1188143,0.013194028417405084
Farm 117,397023,0.004408840303198705
Farm 18,250705,0.0027840158081860024
Farm 19,212827,0.002363390169357621
Farm 20,1249988,0.013880801547806406
Farm 21,419175,0.004654832677435104
Farm 22,1737890,0.019298830230304032
Farm 23,1086908,0.012069839269435518
Farm 24,379234,0.004211297943804912
Farm 25,1842630,0.0204619415194662
Farm 26,1795611,0.019939807380597422
Farm 27,322221,0.00357818295498495
Farm 28,1839995,0.020432680508897724
Farm 29,467724,0.005193957080504936
Farm 30,1228778,0.01364526984603889
Farm 31,1028721,0.011423687306646908
Farm 32,260693,0.002894930029650121
Farm 33,218121,0.0024221787044428275
Farm 34,311417,0.003458207259280271
Farm 35,1756953,0.019510520038450857
Farm 36,205618,0.0022833360421514906
Farm 37,705415,0.007833455700251407
Farm 38,1839572,0.020427983200559784
Farm 39,243774,0.0027070488008804554
Farm 40,1692448,0.01879420827878496
Farm 41,1871082,0.020777893805118693
Farm 42,1720638,0.01910725112050237
Farm 43,316520,0.003514874787527307
Farm 44,436362,0.004845689978626914
Farm 45,973410,0.010809472598657133
Farm 46,1054873,0.011714098672258604
Farm 47,1152767,0.01280118685768195
Farm 48,334164,0.003710806958483745
Farm 49,549159,0.006098272221166778
Farm 50,1840486,0.020438132940089043
Farm 51,657736,0.007303992427805702
Farm 52,707993,0.007862083740192786
Farm 53,1111243,0.012340073308214987
Farm 54,844159,0.009374172835094983
Farm 55,1778312,0.019747706347647102
Farm 56,558433,0.0062012576526704055
Farm 57,724686,0.008047455295949748
Farm 58,1859361,0.020647735055641228
Farm 59,1787975,0.019855011526061978
Farm 60,932082,0.010350535579767558
Farm 61,1834916,0.02037627949459894
Farm 62,988834,0.010980752229400282
Farm 63,1811637,0.02011777206954255
Farm 64,1779014,0.019755501880633467
Farm 65,643206,0.007142640441634933
Farm 66,107958,0.0011988463677235974
Farm 67,1785814,0.019831014165971474
Farm 68,1072781,0.01191296249664581
Farm 69,936351,0.010397941748312845
Farm 70,357665,0.003971779637561463
Farm 71,1176217,0.013061593194619634
Farm 72,1886866,0.020953171145085617
Farm 73,285780,0.003173514838808144
Farm 74,704417,0.00782237316190327
Farm 75,798307,0.008864997936959945
Farm 76,402002,0.004464130842713107
Farm 77,1075046,0.011938114750512074
Farm 78,885452,0.009832721187810025
Farm 79,330729,0.0036726621496402084
Farm 80,884280,0.009819706423337063
Farm 81,1136839,0.012624310434025517
Farm 82,325570,0.0036153727555139183
Farm 83,853976,0.009483188144677808
Farm 84,230648,0.002561287880682416
Farm 85,1009214,0.011207066990457424
Farm 86,266151,0.0029555397433817148
Farm 87,189332,0.0021024841187669663
Farm 88,609283,0.006765934080528877
Farm 89,366127,0.004065748013815905
Farm 90,1689238,0.018758562038206285
Farm 91,954978,0.010604789886399762
Farm 92,365895,0.004063171712316138
Farm 93,1792355,0.01990365032161793
Farm 94,356462,0.003958420625905342
Farm 95,355222,0.003944650738579
Farm 96,874037,0.009705960491172769
Farm 97,382812,0.004251030731590116
Farm 98,1735701,0.0192745219372739
Farm 99,1240231,0.013772452523094211
