farm_id,weight,percent,min,max,average
Farm 100,253680,1.06,8872,9257,9060.0
Farm 101,214723,0.89,7552,7805,7668.68
Farm 102,483521,2.01,17146,17403,17268.61
Farm 103,72310,0.3,2326,2762,2582.5
Farm 104,81840,0.34,2746,3040,2922.86
Farm 105,130308,0.54,9128,9495,9307.71
Farm 106,241020,1.0,8461,8755,8607.86
Farm 107,237363,0.99,8345,8671,8477.25
Farm 108,39238,0.16,2625,2899,2802.71
Farm 109,97838,0.41,3283,3678,3494.21
Farm 110,106449,0.44,3676,3909,3801.75
Farm 111,74669,0.31,2510,2793,2666.75
Farm 112,484635,2.02,17135,17517,17308.39
Farm 113,245003,1.02,17342,17670,17500.21
Farm 114,113199,0.47,7976,8263,8085.64
Farm 115,241125,1.0,8431,8737,8611.61
Farm 116,316391,1.32,11133,11543,11299.68
Farm 117,105628,0.44,3617,3877,3772.43
Farm 18,67321,0.28,2218,2580,2404.32
Farm 19,56777,0.24,1842,2172,2027.75
Farm 20,333682,1.39,11697,12183,11917.21
Farm 21,111429,0.46,3870,4139,3979.61
Farm 22,463382,1.93,16402,16747,16549.36
Farm 23,289032,1.2,10125,10470,10322.57
Farm 24,102132,0.43,7192,7391,7295.14
Farm 25,490953,2.04,17422,17686,17534.04
Farm 26,479403,2.0,16963,17272,17121.54
Farm 27,85840,0.36,2849,3238,3065.71
Farm 28,490129,2.04,17332,17702,17504.61
Farm 29,125779,0.52,8826,9076,8984.21
Farm 30,327377,1.36,11539,11791,11692.04
Farm 31,273839,1.14,9638,9939,9779.96
Farm 32,68926,0.29,2284,2563,2461.64
Farm 33,58309,0.24,1904,2188,2082.46
Farm 34,82885,0.34,2766,3090,2960.18
Farm 35,468108,1.95,16572,16884,16718.14
Farm 36,55016,0.23,3809,4100,3929.71
Farm 37,187833,0.78,6510,6818,6708.32
Farm 38,490449,2.04,17318,17681,17516.04
Farm 39,65214,0.27,2154,2456,2329.07
Farm 40,451061,1.88,15968,16262,16109.32
Farm 41,499090,2.08,17639,17989,17824.64
Farm 42,458768,1.91,16264,16529,16384.57
Farm 43,84103,0.35,2857,3155,3003.68
Farm 44,117614,0.49,8289,8520,8401.0
Farm 45,259540,1.08,9130,9429,9269.29
Farm 46,281775,1.17,9896,10221,10063.39
Farm 47,307166,1.28,10855,11152,10970.21
Farm 48,89807,0.37,3077,3345,3207.39
Farm 49,147695,0.61,10434,10698,10549.64
Farm 50,490518,2.04,17365,17721,17518.5
Farm 51,175459,0.73,6019,6399,6266.39
Farm 52,189338,0.79,6590,6939,6762.07
Farm 53,296296,1.23,10486,10747,10582.0
Farm 54,224594,0.93,7909,8151,8021.21
Farm 55,474099,1.97,16744,17155,16932.11
Farm 56,149776,0.62,10598,10856,10698.29
Farm 57,193518,0.81,6732,7032,6911.36
Farm 58,496048,2.06,17449,17950,17716.0
Farm 59,477025,1.99,16947,17162,17036.61
Farm 60,248778,1.04,8742,9032,8884.93
Farm 61,489203,2.04,17333,17609,17471.54
Farm 62,264381,1.1,9302,9652,9442.18
Farm 63,484014,2.01,17145,17417,17286.21
Farm 64,474947,1.98,16784,17085,16962.39
Farm 65,171550,0.71,5952,6252,6126.79
Farm 66,29505,0.12,1968,2349,2107.5
Farm 67,476001,1.98,16863,17181,17000.04
Farm 68,285946,1.19,10026,10395,10212.36
Farm 69,249521,1.04,8821,9071,8911.46
Farm 70,95540,0.4,3226,3554,3412.14
Farm 71,314479,1.31,11039,11409,11231.39
Farm 72,502808,2.09,17757,18077,17957.43
Farm 73,76300,0.32,2638,2835,2725.0
Farm 74,187728,0.78,6558,6801,6704.57
Farm 75,212494,0.88,7428,7723,7589.07
Farm 76,106856,0.44,3654,3931,3816.29
Farm 77,286435,1.19,10051,10437,10229.82
Farm 78,235819,0.98,8291,8606,8422.11
Farm 79,88981,0.37,6222,6522,6355.79
Farm 80,235821,0.98,8280,8549,8422.18
Farm 81,303188,1.26,10669,10989,10828.14
Farm 82,86714,0.36,2981,3216,3096.93
Farm 83,228184,0.95,8001,8343,8149.43
Farm 84,61521,0.26,1935,2337,2197.18
Farm 85,268659,1.12,9444,9755,9594.96
Farm 86,71549,0.3,2446,2644,2555.32
Farm 87,50813,0.21,3531,3734,3629.5
Farm 88,163946,0.68,11610,11795,11710.43
Farm 89,97539,0.41,3314,3606,3483.54
Farm 90,449919,1.87,15915,16198,16068.54
Farm 91,254896,1.06,8944,9253,9103.43
Farm 92,97477,0.41,3359,3624,3481.32
Farm 93,477790,1.99,16906,17216,17063.93
Farm 94,94591,0.39,3277,3605,3378.25
Farm 95,95359,0.4,6688,6954,6811.36
Farm 96,235285,0.98,16726,16979,16806.07
Farm 97,101681,0.42,3511,3810,3631.46
Farm 98,462609,1.93,16349,16700,16521.75
Farm 99,331270,1.38,11681,12096,11831.07
