farm_id,weight,percent,min,max,average
Farm 100,272430,1.06,8965,9211,9081.0
Farm 101,230726,0.9,7568,7791,7690.87
Farm 102,518029,2.01,17066,17456,17267.63
Farm 103,77827,0.3,2444,2725,2594.23
Farm 104,88251,0.34,2816,3061,2941.7
Farm 105,139263,0.54,9144,9427,9284.2
Farm 106,258421,1.0,8434,8761,8614.03
Farm 107,255241,0.99,8370,8622,8508.03
Farm 108,42205,0.16,2713,2979,2813.67
Farm 109,104991,0.41,3322,3701,3499.7
Farm 110,113426,0.44,3644,4016,3780.87
Farm 111,79811,0.31,2552,2771,2660.37
Farm 112,519158,2.02,17195,17451,17305.27
Farm 113,262169,1.02,17362,17588,17477.93
Farm 114,121255,0.47,7985,8220,8083.67
Farm 115,258463,1.0,8434,8729,8615.43
Farm 116,340011,1.32,11177,11472,11333.7
Farm 117,108857,0.42,3628,3928,3753.69
Farm 18,72290,0.28,2273,2577,2409.67
Farm 19,60735,0.24,1793,2289,2024.5
Farm 20,356811,1.39,11769,12084,11893.7
Farm 21,118718,0.46,3818,4053,3957.27
Farm 22,496048,1.93,16354,16673,16534.93
Farm 23,310748,1.21,10204,10534,10358.27
Farm 24,109502,0.43,7181,7426,7300.13
Farm 25,526359,2.04,17396,17652,17545.3
Farm 26,512510,1.99,16881,17265,17083.67
Farm 27,92181,0.36,2932,3207,3072.7
Farm 28,525977,2.04,17384,17681,17532.57
Farm 29,135172,0.53,8904,9195,9011.47
Farm 30,350049,1.36,11558,11809,11668.3
Farm 31,293625,1.14,9615,9939,9787.5
Farm 32,74389,0.29,2370,2617,2479.63
Farm 33,61822,0.24,1822,2241,2060.73
Farm 34,89382,0.35,2858,3155,2979.4
Farm 35,502307,1.95,16628,16859,16743.57
Farm 36,59156,0.23,3878,4039,3943.73
Farm 37,202145,0.79,6570,6904,6738.17
Farm 38,525936,2.04,17348,17686,17531.2
Farm 39,69603,0.27,2144,2430,2320.1
Farm 40,482858,1.88,15896,16267,16095.27
Farm 41,534898,2.08,17666,17966,17829.93
Farm 42,492164,1.91,16268,16584,16405.47
Farm 43,90590,0.35,2872,3138,3019.67
Farm 44,125859,0.49,8295,8531,8390.6
Farm 45,278142,1.08,9132,9457,9271.4
Farm 46,301360,1.17,9903,10141,10045.33
Farm 47,328788,1.28,10792,11070,10959.6
Farm 48,95437,0.37,3049,3325,3181.23
Farm 49,158455,0.62,10465,10679,10563.67
Farm 50,525821,2.04,17414,17699,17527.37
Farm 51,187825,0.73,6049,6415,6260.83
Farm 52,202923,0.79,6616,6952,6764.1
Farm 53,317877,1.23,10420,10736,10595.9
Farm 54,240707,0.93,7876,8220,8023.57
Farm 55,507640,1.97,16775,17060,16921.33
Farm 56,161155,0.63,10649,10849,10743.67
Farm 57,207039,0.8,6762,7085,6901.3
Farm 58,531800,2.07,17602,17825,17726.67
Farm 59,509922,1.98,16861,17203,16997.4
Farm 60,265993,1.03,8694,8999,8866.43
Farm 61,523766,2.03,17272,17613,17458.87
Farm 62,283314,1.1,9236,9641,9443.8
Farm 63,518107,2.01,17098,17370,17270.23
Farm 64,508346,1.97,16830,17100,16944.87
Farm 65,183920,0.71,6001,6270,6130.67
Farm 66,30798,0.12,1920,2205,2053.2
Farm 67,510219,1.98,16865,17182,17007.3
Farm 68,307525,1.19,10108,10397,10250.83
Farm 69,267905,1.04,8707,9067,8930.17
Farm 70,102793,0.4,3262,3564,3426.43
Farm 71,336440,1.31,11059,11374,11214.67
Farm 72,539044,2.09,17844,18058,17968.13
Farm 73,81675,0.32,2583,2852,2722.5
Farm 74,200904,0.78,6556,6826,6696.8
Farm 75,228263,0.89,7471,7746,7608.77
Farm 76,114340,0.44,3626,3914,3811.33
Farm 77,307205,1.19,10042,10419,10240.17
Farm 78,253339,0.98,8253,8587,8444.63
Farm 79,94780,0.37,6173,6395,6318.67
Farm 80,252893,0.98,8300,8573,8429.77
Farm 81,324841,1.26,10640,11000,10828.03
Farm 82,93209,0.36,2944,3271,3106.97
Farm 83,244148,0.95,8016,8226,8138.27
Farm 84,65779,0.26,2022,2329,2192.63
Farm 85,288691,1.12,9430,9764,9623.03
Farm 86,76152,0.3,2369,2785,2538.4
Farm 87,54046,0.21,3443,3796,3603.07
Farm 88,175727,0.68,11572,11857,11715.13
Farm 89,104557,0.41,3356,3613,3485.23
Farm 90,482281,1.87,15957,16280,16076.03
Farm 91,273649,1.06,8988,9240,9121.63
Farm 92,104429,0.41,3369,3693,3480.97
Farm 93,512553,1.99,16948,17293,17085.1
Farm 94,101841,0.4,3269,3496,3394.7
Farm 95,102794,0.4,6722,7010,6852.93
Farm 96,252782,0.98,16749,17008,16852.13
Farm 97,109075,0.42,3454,3760,3635.83
Farm 98,495945,1.93,16424,16689,16531.5
Farm 99,354594,1.38,11684,11912,11819.8
